X,Y,y1,y2,y3,y4,y5,y6,y7,y8
200.931,2550.17,202.844,2377.89,204.757,2309.26,206.671,2277.44,,
208.584,2240.26,210.498,2181.03,212.411,2153.7,214.324,2083.13,216.238,2040.67
218.151,2003.68,220.064,1912.82,221.978,1918.39,223.891,1875.82,,
225.805,1873.69,227.718,1879.75,229.631,1836.65,231.545,1805.87,,
233.458,1805.06,235.371,1807.63,237.285,1783.7,239.198,1729.72,241.112,1727.29
243.025,1708.79,244.938,1694.01,246.852,1684.01,248.765,1675.49,250.679,1661.4
252.592,1654.15,254.505,1635.27,256.419,1633.04,258.332,1649.45,260.245,1658.7
262.159,1622.93,264.072,1605.57,265.986,1611.81,267.899,1615.13,,
269.812,1584.87,271.726,1577.08,273.639,1585.04,275.552,1546.12,,
277.466,1509.37,279.379,1516.6,281.293,1506.13,283.206,1495.87,285.119,1468.55
287.033,1428.99,288.946,1395.15,290.86,1397.39,292.773,1371.27,294.686,1371.3
296.6,1363.93,298.513,1353.66,300.426,1362.37,302.34,1354.79,304.253,1344.06
306.167,1330.04,308.08,1306.05,309.993,1279.08,311.907,1297.43,313.82,1297.28
315.733,1303.43,317.647,1306.13,319.56,1302.09,321.474,1296.49,323.387,1258.98
325.3,1262.6,327.214,1275.69,329.127,1280.68,331.041,1275.21,332.954,1294.83
334.867,1290.18,336.781,1307.72,338.694,1323.04,340.607,1315.62,,
342.521,1287.02,344.434,1314.53,346.348,1333.72,348.261,1351.35,,
350.174,1363.16,352.088,1365.78,354.001,1391.33,355.914,1460.53,,
357.828,1473.23,359.741,1461.73,361.655,1465.77,363.568,1499,365.481,1489.15
367.395,1442.34,369.308,1402.83,371.222,1370.8,373.135,1332.46,375.048,1319.16
376.962,1319.99,378.875,1298.85,380.788,1299.71,382.702,1312.58,,
384.615,1257.97,386.529,1285.37,388.442,1268.52,390.355,1272.27,,
392.269,1289.11,394.182,1291.58,396.095,1279.23,398.009,1286.83,399.922,1282.6
401.836,1286.64,403.749,1305.1,405.662,1324,407.576,1289.62,409.489,1269.04
411.403,1282.37,413.316,1294.66,415.229,1297.4,417.143,1341.64,419.056,1318.63
420.969,1345.42,422.883,1354.67,424.796,1361.55,426.71,1392.7,428.623,1390.47
430.536,1404.74,432.45,1409.6,434.363,1430.61,436.276,1452.1,438.19,1441.38
440.103,1472.4,442.017,1477.89,443.93,1478.85,445.843,1496.53,447.757,1512.89
449.67,1475.6,451.583,1501.94,453.497,1515.47,455.41,1518.26,457.324,1529.8
459.237,1546.57,461.15,1518.59,463.064,1539.74,464.977,1548.27,466.891,1569.96
468.804,1567.92,470.717,1529.44,472.631,1568.53,474.544,1582.06,,
476.457,1583.28,478.371,1590.07,480.284,1590.02,482.198,1573.31,,
484.111,1598.49,486.024,1602.1,487.938,1626.56,489.851,1625.37,491.764,1610.85
493.678,1624.84,495.591,1637.32,497.505,1655.86,499.418,1667.93,,
501.331,1680.44,503.245,1689.21,505.158,1688.47,507.072,1716.71,,
508.985,1745.19,510.898,1743.53,512.812,1759.27,514.725,1794.46,,
516.638,1811.13,518.552,1815.63,520.465,1871.96,522.379,1898.99,,
524.292,1899.71,526.205,1895.9,528.119,1904.88,530.032,1889.08,531.945,1901.17
533.859,1886.44,535.772,1872.68,537.686,1876.29,539.599,1888.37,,
541.512,1871.55,543.426,1876.22,545.339,1888.39,547.253,1898.79,,
549.166,1901.63,551.079,1900.03,552.993,1920.14,554.906,1929.74,,
556.819,1938.98,558.733,1925.5,560.646,1911.21,562.56,1929.43,564.473,1960.35
566.386,1954.22,568.3,1924.93,570.213,1905.74,572.127,1901.52,574.04,1914.5
575.953,1972.75,577.867,1936.24,579.78,1901.34,581.693,1878.78,583.607,1871.84
585.52,1880.76,587.434,1903.86,589.347,1906.38,591.26,1883.71,593.174,1904.33
595.087,1917.94,597,1904.48,598.914,1904.68,600.827,1902.15,602.741,1898.7
604.654,1931.16,606.567,1948.37,608.481,1937.49,610.394,1918.07,,
612.307,1881.39,614.221,1885.7,616.134,1883.54,618.048,1895.67,619.961,1890.93
621.874,1853.36,623.788,1843.59,625.701,1850.17,627.615,1861.28,,
629.528,1837.49,631.441,1819.97,633.355,1824.29,635.268,1819.28,,
637.181,1827.14,639.095,1801.46,641.008,1804.23,642.922,1823.16,,
644.835,1811.79,646.748,1764.4,648.662,1810.27,650.575,1805.45,652.489,1830.14
654.402,1826.39,656.315,1818.48,658.229,1831.09,660.142,1848.11,662.055,1841.5
663.969,1817.64,665.882,1834.3,667.796,1840.13,669.709,1830.73,671.622,1835.04
673.536,1857.16,675.449,1877.3,677.362,1876.76,679.276,1880.04,681.189,1897.3
683.103,1914.2,685.016,1900.85,686.929,1857.21,688.843,1852.12,690.756,1846.57
692.669,1876.99,694.583,1896.48,696.496,1868.64,698.41,1858.73,700.323,1869.96
702.236,1852.34,704.15,1837.74,706.063,1838.21,707.977,1846.18,709.89,1847.39
711.803,1845.05,713.717,1873.17,715.63,1874.48,717.543,1888.26,719.457,1892.67
721.37,1895.91,723.284,1934.78,725.197,1939.9,727.11,1971.75,729.024,1983.81
